model,Behördentext,Sachtext,Alltagstext
gemini-3-flash-preview,83.38,88.95,94.17
gemini-2.5-flash,88.67,83.53,87.87
claude-opus-4-20250514,78.81,81.79,94.61
gpt-5.4-nano,81.02,83.50,88.92
gemini-3.1-flash-lite,80.22,83.11,89.68
gpt-4,86.89,73.58,91.55
claude-opus-4-1-20250805,74.65,83.67,93.41
claude-opus-4-5-20251101,86.64,70.03,94.39
gpt-4.1,79.19,75.36,93.68
claude-sonnet-4-5-20250929,85.65,70.54,91.64
claude-opus-4-6,85.31,65.51,94.31
claude-sonnet-4-20250514,75.88,74.92,92.50
mistral-large-latest,85.13,70.34,85.39
mistral-large-2512,85.10,69.21,85.75
gpt-4.1-mini,81.31,72.28,86.19
gpt-5.4,78.43,66.86,90.32
gpt-4.1-nano,82.59,68.71,83.06
gpt-5.4-mini,78.34,67.90,85.77
claude-haiku-4-5-20251001,85.08,60.63,85.18
mistral-medium-2508,75.68,70.57,83.17
claude-sonnet-4-6,77.24,69.06,82.82
gpt-4-turbo,83.80,64.04,81.24
mistral-medium-latest,76.37,66.06,84.49
gemini-2.5-flash-lite,74.42,71.13,78.29
mistral-small-2506,79.34,56.76,84.37
mistral-small-2409,71.82,61.04,82.87
mistral-small-latest,72.11,61.13,76.96
gpt-3.5-turbo-0125,65.88,39.93,46.79
gpt-3.5-turbo-1106,72.49,32.81,43.95
qwen2:7b,55.85,30.21,61.87
gpt-3.5-turbo,68.33,35.63,42.63
llama3:8b,54.51,35.96,52.95
nous-hermes2,60.53,20.54,55.98
gemma:7b,54.67,34.72,44.61
phi3:mini,41.66,38.47,50.24
