model,Einfach,Moderat,Komplex
gemini-3-flash-preview,85.32,89.86,91.31
gemini-2.5-flash,86.20,90.96,82.93
claude-opus-4-20250514,88.15,80.75,86.31
gpt-5.4-nano,87.52,83.17,82.75
gemini-3.1-flash-lite,84.80,86.93,81.27
gpt-4,84.31,83.66,84.05
claude-opus-4-1-20250805,84.96,83.82,82.94
claude-opus-4-5-20251101,88.85,84.73,77.47
gpt-4.1,82.51,84.59,81.13
claude-sonnet-4-5-20250929,82.81,83.93,81.09
claude-opus-4-6,80.87,84.43,79.84
claude-sonnet-4-20250514,84.43,80.71,78.16
mistral-large-latest,76.93,84.91,79.02
mistral-large-2512,76.46,85.62,77.97
gpt-4.1-mini,77.80,80.85,81.12
gpt-5.4,83.73,78.87,73.01
gpt-4.1-nano,78.39,75.92,80.04
gpt-5.4-mini,77.29,76.37,78.35
claude-haiku-4-5-20251001,84.20,80.08,66.61
mistral-medium-2508,76.24,80.31,72.87
claude-sonnet-4-6,81.38,76.87,70.87
gpt-4-turbo,77.49,80.05,71.53
mistral-medium-latest,71.60,79.27,76.05
gemini-2.5-flash-lite,80.65,74.63,68.56
mistral-small-2506,77.06,76.29,67.11
mistral-small-2409,72.51,75.40,67.83
mistral-small-latest,70.17,68.76,71.27
gpt-3.5-turbo-0125,52.74,51.71,48.14
gpt-3.5-turbo-1106,51.72,48.87,48.65
qwen2:7b,55.01,50.85,42.07
gpt-3.5-turbo,55.80,45.58,45.21
llama3:8b,50.13,47.56,45.73
nous-hermes2,42.83,43.03,51.19
gemma:7b,47.94,42.07,43.99
phi3:mini,43.28,49.36,37.73
