id,group_name,score,answers,created_at
3,A,5,"[3,1,2,0,3,2,1,1]",2026-06-06 19:12:16
4,A,8,"[2,2,2,0,3,2,0,1]",2026-06-07 09:34:09
5,A,8,"[2,2,2,0,3,2,0,1]",2026-06-07 12:50:03
7,B,8,"[2,2,2,0,3,2,0,1]",2026-06-07 13:15:15
8,B,8,"[2,2,2,0,3,2,0,1]",2026-06-07 18:41:27
9,B,7,"[2,2,1,0,3,2,0,1]",2026-06-08 06:09:34
10,A,7,"[2,2,0,0,3,2,0,1]",2026-06-08 13:54:02
11,B,6,"[0,2,2,0,3,2,2,1]",2026-06-08 14:02:44
12,A,4,"[1,1,2,3,3,1,0,1]",2026-06-08 14:11:23
13,B,7,"[2,2,3,0,3,2,0,1]",2026-06-10 12:05:22
14,A,8,"[2,2,2,0,3,2,0,1]",2026-06-10 12:12:07
15,B,5,"[2,2,1,0,3,1,2,1]",2026-06-12 15:09:42
16,A,5,"[2,0,1,0,3,2,1,1]",2026-06-12 15:51:58
17,B,7,"[2,2,2,0,3,2,1,1]",2026-06-12 15:55:49
